Source_ID,RA,Dec,G,BpRp
6.52832E+16,56.4568,24.3675,3.8633,-0.0138
6.653E+16,57.2968,24.1365,5.2033,-0.0331
6.49409E+16,57.0868,23.421,5.4283,-0.0671
6.52875E+16,56.201,24.2893,5.4413,-0.0212
6.98129E+16,56.2907,24.8391,5.6404,-0.0805
6.67985E+16,56.4771,24.5543,5.752,-0.023
6.40536E+16,57.4796,22.244,6.0404,0.0235
6.64535E+16,57.4315,23.7116,6.1592,-0.0497
6.67151E+16,56.8378,24.1161,6.2988,0.0094
6.67865E+16,56.5122,24.5277,6.4253,-0.0169
6.67456E+16,57.3407,24.3808,6.6049,-0.0326
6.46798E+16,54.6698,22.6594,6.7019,0.0001
6.67899E+16,56.7476,24.5199,6.8028,0.0346
6.65075E+16,57.492,23.8485,6.8064,0.0553
6.67299E+16,56.8728,24.2881,6.8159,0.1014
6.49561E+16,56.4535,23.1469,6.8952,0.0246
6.67254E+16,57.1255,24.3453,6.9398,0.1819
6.50176E+16,56.8375,23.8031,6.9976,0.0424
6.41099E+16,57.4092,22.5333,7.0044,0.0425
6.85405E+16,54.7781,24.7027,7.1034,0.0387
6.57767E+16,59.5872,24.0809,7.1976,0.0339
6.43132E+16,54.8051,21.8431,7.2714,0.1051
6.52077E+16,56.8518,23.9145,7.2865,0.0423
6.52315E+16,56.6138,24.2548,7.3528,0.1344
6.67464E+16,57.3201,24.3959,7.5258,0.1329
6.65582E+16,57.4859,24.3488,7.546,0.0899
6.73697E+16,57.9893,25.9987,7.6486,0.2027
6.41142E+16,57.297,22.6093,7.706,0.2344
6.35023E+16,56.3834,21.2465,7.7283,0.2421
6.50071E+16,56.8619,23.6781,7.7468,0.2174
6.47987E+16,56.4163,22.6943,7.8001,0.2516
6.52215E+16,56.4652,24.0387,7.8336,0.2658
6.51849E+16,55.9232,23.649,7.8599,0.4854
6.6556E+16,57.3584,24.2475,7.9557,0.2338
6.9872E+16,56.4965,25.3984,8.0167,0.2772
6.83061E+16,56.0012,24.5568,8.0416,0.2723
6.93356E+16,52.8166,25.2553,8.0884,0.3206
6.49294E+16,57.4206,23.3414,8.0943,0.2731
6.65063E+16,57.3009,23.8866,8.1017,0.2963
6.48984E+16,56.8455,22.9219,8.1244,0.3388
