wavelength, flux 
380.000,  0.441 
380.100,  0.517 
380.200,  0.578 
380.300,  0.648 
380.400,  0.701 
380.500,  0.731 
380.600,  0.798 
380.700,  0.793 
380.800,  0.884 
380.900,  0.902 
381.000,  0.945 
381.100,  0.954 
381.200,  0.985 
381.300,  0.951 
381.400,  0.973 
381.500,  0.964 
381.600,  0.939 
381.700,  1.019 
381.800,  0.982 
381.900,  1.000 
382.000,  0.920 
382.100,  0.921 
382.200,  0.907 
382.300,  0.909 
382.400,  0.819 
382.500,  0.791 
382.600,  0.752 
382.700,  0.741 
382.800,  0.669 
382.900,  0.605 
383.000,  0.596 
383.100,  0.541 
383.200,  0.447 
383.300,  0.412 
383.400,  0.340 
383.500,  0.251 
383.600,  0.278 
383.700,  0.358 
383.800,  0.393 
383.900,  0.476 
384.000,  0.521 
384.100,  0.562 
384.200,  0.641 
384.300,  0.660 
384.400,  0.717 
384.500,  0.741 
384.600,  0.779 
384.700,  0.806 
384.800,  0.841 
384.900,  0.874 
385.000,  0.832 
385.100,  0.912 
385.200,  0.937 
385.300,  0.940 
385.400,  0.910 
385.500,  0.973 
385.600,  0.838 
385.700,  0.981 
385.800,  0.956 
385.900,  0.941 
386.000,  0.922 
386.100,  0.985 
386.200,  0.986 
386.300,  0.901 
386.400,  0.957 
386.500,  0.965 
386.600,  0.914 
386.700,  0.910 
386.800,  0.952 
386.900,  0.940 
387.000,  0.910 
387.100,  0.898 
387.200,  0.878 
387.300,  0.823 
387.400,  0.847 
387.500,  0.836 
387.600,  0.812 
387.700,  0.785 
387.800,  0.654 
387.900,  0.651 
388.000,  0.681 
388.100,  0.643 
388.200,  0.589 
388.300,  0.548 
388.400,  0.507 
388.500,  0.455 
388.600,  0.391 
388.700,  0.345 
388.800,  0.288 
388.900,  0.206 
389.000,  0.281 
389.100,  0.342 
389.200,  0.396 
389.300,  0.443 
389.400,  0.492 
389.500,  0.542 
389.600,  0.556 
389.700,  0.628 
389.800,  0.639 
389.900,  0.686 
390.000,  0.686 
390.100,  0.705 
390.200,  0.791 
390.300,  0.757 
390.400,  0.755 
390.500,  0.822 
390.600,  0.783 
390.700,  0.869 
390.800,  0.897 
390.900,  0.906 
391.000,  0.926 
391.100,  0.934 
391.200,  0.945 
391.300,  0.913 
391.400,  0.894 
391.500,  0.957 
391.600,  0.954 
391.700,  0.957 
391.800,  0.953 
391.900,  0.932 
392.000,  0.939 
392.100,  0.965 
392.200,  0.989 
392.300,  0.940 
392.400,  0.994 
392.500,  0.989 
392.600,  0.954 
392.700,  0.995 
392.800,  0.923 
392.900,  0.983 
393.000,  0.923 
393.100,  0.982 
393.200,  0.947 
393.300,  0.901 
393.400,  0.700 
393.500,  0.973 
393.600,  0.926 
393.700,  0.976 
393.800,  0.875 
393.900,  0.932 
394.000,  0.970 
394.100,  0.948 
394.200,  0.945 
394.300,  0.938 
394.400,  0.858 
394.500,  0.898 
394.600,  0.935 
394.700,  0.884 
394.800,  0.871 
394.900,  0.874 
395.000,  0.865 
395.100,  0.858 
395.200,  0.837 
395.300,  0.826 
395.400,  0.823 
395.500,  0.793 
395.600,  0.764 
395.700,  0.708 
395.800,  0.720 
395.900,  0.699 
396.000,  0.667 
396.100,  0.607 
396.200,  0.569 
396.300,  0.554 
396.400,  0.516 
396.500,  0.472 
396.600,  0.427 
396.700,  0.380 
396.800,  0.311 
396.900,  0.265 
397.000,  0.197 
397.100,  0.271 
397.200,  0.328 
397.300,  0.379 
397.400,  0.414 
397.500,  0.468 
397.600,  0.513 
397.700,  0.549 
397.800,  0.582 
397.900,  0.624 
398.000,  0.658 
398.100,  0.692 
398.200,  0.688 
398.300,  0.738 
398.400,  0.756 
398.500,  0.789 
398.600,  0.803 
398.700,  0.818 
398.800,  0.844 
398.900,  0.866 
399.000,  0.871 
399.100,  0.881 
399.200,  0.902 
399.300,  0.915 
399.400,  0.892 
399.500,  0.917 
399.600,  0.924 
399.700,  0.900 
399.800,  0.944 
399.900,  0.931 
400.000,  0.958 
400.100,  0.965 
400.200,  0.909 
400.300,  0.924 
400.400,  0.963 
400.500,  0.921 
400.600,  0.947 
400.700,  0.968 
400.800,  0.981 
400.900,  0.986 
401.000,  0.954 
401.100,  0.985 
401.200,  0.917 
401.300,  0.979 
401.400,  0.977 
401.500,  0.960 
401.600,  0.973 
401.700,  0.988 
401.800,  0.976 
401.900,  0.995 
402.000,  0.990 
402.100,  0.995 
402.200,  0.959 
402.300,  0.965 
402.400,  0.980 
402.500,  0.914 
402.600,  0.989 
402.700,  0.995 
402.800,  0.930 
402.900,  0.976 
403.000,  0.966 
403.100,  0.936 
403.200,  0.973 
403.300,  0.929 
403.400,  0.976 
403.500,  0.982 
403.600,  0.941 
403.700,  0.990 
403.800,  0.982 
403.900,  0.990 
404.000,  0.993 
404.100,  0.969 
404.200,  0.983 
404.300,  0.994 
404.400,  0.972 
404.500,  0.986 
404.600,  0.899 
404.700,  0.990 
404.800,  0.993 
404.900,  0.948 
405.000,  0.990 
405.100,  0.981 
405.200,  0.961 
405.300,  0.982 
405.400,  0.925 
405.500,  0.961 
405.600,  0.974 
405.700,  0.961 
405.800,  0.946 
405.900,  0.970 
406.000,  0.975 
406.100,  0.972 
406.200,  0.949 
406.300,  0.946 
406.400,  0.894 
406.500,  0.958 
406.600,  0.964 
406.700,  0.895 
406.800,  0.943 
406.900,  0.948 
407.000,  0.941 
407.100,  0.902 
407.200,  0.876 
407.300,  0.926 
407.400,  0.913 
407.500,  0.895 
407.600,  0.902 
407.700,  0.854 
407.800,  0.834 
407.900,  0.884 
408.000,  0.861 
408.100,  0.866 
408.200,  0.841 
408.300,  0.836 
408.400,  0.810 
408.500,  0.783 
408.600,  0.782 
408.700,  0.765 
408.800,  0.743 
408.900,  0.719 
409.000,  0.695 
409.100,  0.667 
409.200,  0.639 
409.300,  0.607 
409.400,  0.575 
409.500,  0.540 
409.600,  0.500 
409.700,  0.461 
409.800,  0.417 
409.900,  0.374 
410.000,  0.326 
410.100,  0.265 
410.200,  0.209 
410.300,  0.301 
410.400,  0.353 
410.500,  0.399 
410.600,  0.444 
410.700,  0.484 
410.800,  0.523 
410.900,  0.559 
411.000,  0.589 
411.100,  0.610 
411.200,  0.654 
411.300,  0.672 
411.400,  0.713 
411.500,  0.734 
411.600,  0.762 
411.700,  0.783 
411.800,  0.794 
411.900,  0.791 
412.000,  0.824 
412.100,  0.849 
412.200,  0.864 
412.300,  0.855 
412.400,  0.886 
412.500,  0.891 
412.600,  0.887 
412.700,  0.913 
412.800,  0.826 
412.900,  0.882 
413.000,  0.931 
413.100,  0.869 
413.200,  0.883 
