wavelength, flux 
380.000,  0.483 
380.100,  0.569 
380.200,  0.649 
380.300,  0.720 
380.400,  0.782 
380.500,  0.832 
380.600,  0.878 
380.700,  0.910 
380.800,  0.943 
380.900,  0.966 
381.000,  0.983 
381.100,  0.998 
381.200,  1.008 
381.300,  1.015 
381.400,  0.995 
381.500,  1.017 
381.600,  1.005 
381.700,  1.021 
381.800,  1.020 
381.900,  1.015 
382.000,  0.985 
382.100,  0.991 
382.200,  0.973 
382.300,  0.968 
382.400,  0.944 
382.500,  0.885 
382.600,  0.877 
382.700,  0.843 
382.800,  0.804 
382.900,  0.748 
383.000,  0.703 
383.100,  0.636 
383.200,  0.550 
383.300,  0.481 
383.400,  0.398 
383.500,  0.297 
383.600,  0.324 
383.700,  0.416 
383.800,  0.483 
383.900,  0.573 
384.000,  0.641 
384.100,  0.701 
384.200,  0.760 
384.300,  0.805 
384.400,  0.843 
384.500,  0.856 
384.600,  0.898 
384.700,  0.922 
384.800,  0.916 
384.900,  0.951 
385.000,  0.930 
385.100,  0.971 
385.200,  0.982 
385.300,  0.987 
385.400,  0.931 
385.500,  0.995 
385.600,  0.893 
385.700,  0.998 
385.800,  0.999 
385.900,  0.999 
386.000,  0.984 
386.100,  0.997 
386.200,  0.990 
386.300,  0.912 
386.400,  0.987 
386.500,  0.994 
386.600,  0.978 
386.700,  0.987 
386.800,  0.986 
386.900,  0.983 
387.000,  0.976 
387.100,  0.971 
387.200,  0.962 
387.300,  0.926 
387.400,  0.945 
387.500,  0.933 
387.600,  0.918 
387.700,  0.900 
387.800,  0.874 
387.900,  0.848 
388.000,  0.824 
388.100,  0.789 
388.200,  0.745 
388.300,  0.697 
388.400,  0.641 
388.500,  0.577 
388.600,  0.506 
388.700,  0.433 
388.800,  0.354 
388.900,  0.266 
389.000,  0.346 
389.100,  0.426 
389.200,  0.500 
389.300,  0.570 
389.400,  0.634 
389.500,  0.690 
389.600,  0.737 
389.700,  0.783 
389.800,  0.815 
389.900,  0.843 
390.000,  0.862 
390.100,  0.829 
390.200,  0.911 
390.300,  0.918 
390.400,  0.926 
390.500,  0.941 
390.600,  0.917 
390.700,  0.962 
390.800,  0.965 
390.900,  0.969 
391.000,  0.979 
391.100,  0.981 
391.200,  0.985 
391.300,  0.963 
391.400,  0.970 
391.500,  0.986 
391.600,  0.993 
391.700,  0.994 
391.800,  0.991 
391.900,  0.974 
392.000,  0.996 
392.100,  0.969 
392.200,  0.996 
392.300,  0.991 
392.400,  0.999 
392.500,  0.994 
392.600,  0.999 
392.700,  0.999 
392.800,  0.998 
392.900,  0.999 
393.000,  0.984 
393.100,  0.999 
393.200,  0.994 
393.300,  0.989 
393.400,  0.880 
393.500,  0.998 
393.600,  0.972 
393.700,  0.996 
393.800,  0.974 
393.900,  0.967 
394.000,  0.993 
394.100,  0.990 
394.200,  0.988 
394.300,  0.987 
394.400,  0.967 
394.500,  0.972 
394.600,  0.980 
394.700,  0.968 
394.800,  0.968 
394.900,  0.967 
395.000,  0.963 
395.100,  0.957 
395.200,  0.948 
395.300,  0.943 
395.400,  0.928 
395.500,  0.921 
395.600,  0.910 
395.700,  0.892 
395.800,  0.879 
395.900,  0.858 
396.000,  0.833 
396.100,  0.791 
396.200,  0.759 
396.300,  0.729 
396.400,  0.683 
396.500,  0.625 
396.600,  0.569 
396.700,  0.504 
396.800,  0.419 
396.900,  0.352 
397.000,  0.267 
397.100,  0.348 
397.200,  0.424 
397.300,  0.495 
397.400,  0.553 
397.500,  0.620 
397.600,  0.677 
397.700,  0.724 
397.800,  0.764 
397.900,  0.797 
398.000,  0.827 
398.100,  0.855 
398.200,  0.862 
398.300,  0.892 
398.400,  0.907 
398.500,  0.920 
398.600,  0.929 
398.700,  0.939 
398.800,  0.949 
398.900,  0.955 
399.000,  0.961 
399.100,  0.963 
399.200,  0.961 
399.300,  0.973 
399.400,  0.974 
399.500,  0.976 
399.600,  0.980 
399.700,  0.981 
399.800,  0.979 
399.900,  0.985 
400.000,  0.989 
400.100,  0.991 
400.200,  0.959 
400.300,  0.945 
400.400,  0.991 
400.500,  0.989 
400.600,  0.990 
400.700,  0.995 
400.800,  0.993 
400.900,  0.996 
401.000,  0.996 
401.100,  0.997 
401.200,  0.984 
401.300,  0.990 
401.400,  0.998 
401.500,  0.989 
401.600,  0.990 
401.700,  0.998 
401.800,  0.998 
401.900,  0.999 
402.000,  0.999 
402.100,  0.999 
402.200,  0.997 
402.300,  0.996 
402.400,  0.993 
402.500,  0.974 
402.600,  0.997 
402.700,  0.998 
402.800,  0.957 
402.900,  0.980 
403.000,  0.998 
403.100,  0.995 
403.200,  0.997 
403.300,  0.983 
403.400,  0.998 
403.500,  0.983 
403.600,  0.996 
403.700,  1.000 
403.800,  0.993 
403.900,  1.000 
404.000,  0.999 
404.100,  0.999 
404.200,  0.998 
404.300,  0.999 
404.400,  0.989 
404.500,  0.999 
404.600,  0.977 
404.700,  0.998 
404.800,  0.999 
404.900,  0.980 
405.000,  0.998 
405.100,  0.996 
405.200,  0.992 
405.300,  0.997 
405.400,  0.988 
405.500,  0.997 
405.600,  0.996 
405.700,  0.986 
405.800,  0.992 
405.900,  0.996 
406.000,  0.995 
406.100,  0.994 
406.200,  0.986 
406.300,  0.992 
406.400,  0.978 
406.500,  0.992 
406.600,  0.992 
406.700,  0.964 
406.800,  0.989 
406.900,  0.988 
407.000,  0.983 
407.100,  0.979 
407.200,  0.971 
407.300,  0.978 
407.400,  0.980 
407.500,  0.964 
407.600,  0.967 
407.700,  0.958 
407.800,  0.959 
407.900,  0.967 
408.000,  0.962 
408.100,  0.958 
408.200,  0.948 
408.300,  0.947 
408.400,  0.939 
408.500,  0.930 
408.600,  0.919 
408.700,  0.910 
408.800,  0.896 
408.900,  0.880 
409.000,  0.862 
409.100,  0.841 
409.200,  0.816 
409.300,  0.785 
409.400,  0.751 
409.500,  0.711 
409.600,  0.664 
409.700,  0.612 
409.800,  0.553 
409.900,  0.490 
410.000,  0.422 
410.100,  0.342 
410.200,  0.287 
410.300,  0.389 
410.400,  0.460 
410.500,  0.526 
410.600,  0.587 
410.700,  0.643 
410.800,  0.693 
410.900,  0.736 
411.000,  0.773 
411.100,  0.797 
411.200,  0.830 
411.300,  0.853 
411.400,  0.877 
411.500,  0.894 
411.600,  0.908 
411.700,  0.920 
411.800,  0.930 
411.900,  0.936 
412.000,  0.944 
412.100,  0.953 
412.200,  0.960 
412.300,  0.956 
412.400,  0.970 
412.500,  0.971 
412.600,  0.976 
412.700,  0.979 
412.800,  0.891 
412.900,  0.971 
413.000,  0.985 
413.100,  0.889 
413.200,  0.983 
413.300,  0.988 
413.400,  0.993 
413.500,  0.994 
413.600,  0.995 
413.700,  0.994 
413.800,  0.993 
413.900,  0.999 
414.000,  0.998 
414.100,  1.000 
414.200,  0.995 
414.300,  0.999 
414.400,  0.996 
414.500,  0.996 
414.600,  0.995 
414.700,  0.996 
414.800,  1.002 
414.900,  1.002 
415.000,  0.999 
415.100,  0.996 
415.200,  1.003 
415.300,  0.996 
415.400,  1.001 
415.500,  1.002 
415.600,  1.004 
415.700,  1.003 
415.800,  1.001 
415.900,  1.004 
416.000,  1.004 
416.100,  1.001 
416.200,  1.002 
416.300,  0.993 
416.400,  0.981 
416.500,  1.002 
416.600,  1.005 
416.700,  1.000 
416.800,  1.002 
416.900,  1.004 
417.000,  1.004 
417.100,  1.003 
417.200,  0.985 
417.300,  0.969 
417.400,  0.984 
417.500,  1.004 
417.600,  1.002 
417.700,  1.004 
417.800,  0.978 
417.900,  0.966 
418.000,  1.003 
418.100,  1.002 
418.200,  1.001 
418.300,  0.999 
418.400,  1.001 
418.500,  1.002 
418.600,  1.003 
418.700,  0.996 
418.800,  0.995 
418.900,  1.002 
419.000,  0.999 
419.100,  0.988 
419.200,  1.002 
419.300,  1.000 
419.400,  1.000 
419.500,  1.002 
419.600,  1.002 
419.700,  1.003 
419.800,  0.991 
419.900,  0.995 
420.000,  0.997 
420.100,  0.983 
420.200,  0.997 
420.300,  0.998 
420.400,  1.001 
420.500,  1.000 
420.600,  0.997 
420.700,  1.001 
420.800,  1.002 
420.900,  1.003 
421.000,  1.000 
421.100,  1.003 
421.200,  1.002 
421.300,  1.001 
421.400,  1.000 
421.500,  0.999 
421.600,  0.995 
421.700,  0.998 
421.800,  1.001 
421.900,  1.000 
422.000,  1.002 
422.100,  1.001 
422.200,  1.000 
422.300,  0.998 
422.400,  1.001 
422.500,  0.996 
422.600,  1.001 
422.700,  0.993 
422.800,  1.000 
422.900,  1.001 
423.000,  1.000 
423.100,  0.998 
423.200,  1.001 
423.300,  0.929 
423.400,  1.000 
423.500,  0.997 
423.600,  0.993 
423.700,  0.998 
423.800,  0.997 
423.900,  0.990 
424.000,  0.999 
424.100,  1.000 
424.200,  0.968 
424.300,  0.994 
424.400,  1.000 
424.500,  0.997 
424.600,  0.999 
424.700,  0.983 
424.800,  1.000 
424.900,  1.000 
425.000,  0.993 
425.100,  0.995 
425.200,  0.997 
425.300,  0.990 
425.400,  0.997 
425.500,  0.995 
425.600,  0.998 
425.700,  0.999 
425.800,  0.989 
425.900,  0.992 
426.000,  0.994 
426.100,  0.996 
426.200,  0.987 
426.300,  0.998 
426.400,  0.994 
426.500,  0.999 
426.600,  0.997 
426.700,  0.954 
426.800,  0.994 
426.900,  0.994 
427.000,  0.996 
427.100,  0.995 
427.200,  0.982 
427.300,  0.982 
427.400,  0.999 
427.500,  0.997 
427.600,  0.991 
427.700,  0.998 
427.800,  0.991 
427.900,  0.995 
428.000,  0.998 
428.100,  0.997 
428.200,  0.996 
428.300,  0.996 
428.400,  0.991 
428.500,  0.996 
428.600,  0.991 
428.700,  0.997 
428.800,  0.993 
428.900,  0.996 
429.000,  0.975 
429.100,  0.995 
429.200,  0.995 
429.300,  0.995 
429.400,  0.971 
429.500,  0.994 
429.600,  0.992 
429.700,  0.980 
429.800,  0.993 
429.900,  0.990 
430.000,  0.958 
430.100,  0.991 
430.200,  0.981 
430.300,  0.948 
430.400,  0.989 
430.500,  0.988 
430.600,  0.987 
430.700,  0.983 
430.800,  0.957 
430.900,  0.984 
431.000,  0.982 
431.100,  0.980 
431.200,  0.979 
431.300,  0.961 
431.400,  0.958 
431.500,  0.957 
431.600,  0.969 
431.700,  0.964 
431.800,  0.960 
431.900,  0.953 
432.000,  0.949 
432.100,  0.938 
432.200,  0.940 
432.300,  0.932 
432.400,  0.923 
432.500,  0.906 
432.600,  0.886 
432.700,  0.884 
432.800,  0.871 
432.900,  0.852 
433.000,  0.829 
433.100,  0.804 
433.200,  0.773 
433.300,  0.741 
433.400,  0.702 
433.500,  0.658 
433.600,  0.609 
433.700,  0.554 
433.800,  0.493 
433.900,  0.430 
434.000,  0.333 
434.100,  0.343 
434.200,  0.436 
434.300,  0.500 
434.400,  0.558 
434.500,  0.615 
434.600,  0.664 
434.700,  0.709 
434.800,  0.747 
434.900,  0.781 
435.000,  0.811 
435.100,  0.836 
435.200,  0.818 
435.300,  0.876 
435.400,  0.887 
435.500,  0.907 
435.600,  0.919 
435.700,  0.928 
435.800,  0.927 
435.900,  0.945 
436.000,  0.951 
436.100,  0.951 
436.200,  0.958 
436.300,  0.965 
436.400,  0.971 
436.500,  0.974 
436.600,  0.977 
436.700,  0.980 
436.800,  0.967 
436.900,  0.982 
437.000,  0.986 
437.100,  0.987 
437.200,  0.989 
437.300,  0.992 
437.400,  0.991 
437.500,  0.991 
437.600,  0.996 
437.700,  0.988 
437.800,  0.997 
437.900,  0.999 
438.000,  0.998 
438.100,  1.000 
438.200,  1.001 
438.300,  0.996 
438.400,  0.974 
438.500,  0.925 
438.600,  1.001 
438.700,  0.997 
438.800,  1.002 
438.900,  1.003 
439.000,  0.990 
439.100,  0.955 
439.200,  1.003 
439.300,  1.003 
439.400,  1.002 
439.500,  0.969 
439.600,  0.997 
439.700,  1.004 
439.800,  1.002 
439.900,  1.004 
440.000,  0.990 
440.100,  1.004 
440.200,  1.004 
440.300,  0.997 
440.400,  1.004 
440.500,  0.999 
