wavelength, flux 
380.000,  0.520 
380.100,  0.637 
380.200,  0.571 
380.300,  0.761 
380.400,  0.768 
380.500,  0.711 
380.600,  0.759 
380.700,  0.601 
380.800,  0.826 
380.900,  0.809 
381.000,  0.886 
381.100,  0.820 
381.200,  0.871 
381.300,  0.758 
381.400,  0.785 
381.500,  0.774 
381.600,  0.655 
381.700,  0.921 
381.800,  0.768 
381.900,  0.923 
382.000,  0.682 
382.100,  0.746 
382.200,  0.765 
382.300,  0.851 
382.400,  0.627 
382.500,  0.709 
382.600,  0.644 
382.700,  0.728 
382.800,  0.597 
382.900,  0.548 
383.000,  0.615 
383.100,  0.639 
383.200,  0.403 
383.300,  0.457 
383.400,  0.373 
383.500,  0.282 
383.600,  0.302 
383.700,  0.442 
383.800,  0.407 
383.900,  0.538 
384.000,  0.578 
384.100,  0.551 
384.200,  0.733 
384.300,  0.614 
384.400,  0.660 
384.500,  0.725 
384.600,  0.711 
384.700,  0.746 
384.800,  0.847 
384.900,  0.783 
385.000,  0.710 
385.100,  0.819 
385.200,  0.845 
385.300,  0.844 
385.400,  0.810 
385.500,  0.881 
385.600,  0.621 
385.700,  0.867 
385.800,  0.762 
385.900,  0.691 
386.000,  0.672 
386.100,  0.839 
386.200,  0.912 
386.300,  0.743 
386.400,  0.776 
386.500,  0.853 
386.600,  0.744 
386.700,  0.656 
386.800,  0.805 
386.900,  0.816 
387.000,  0.740 
387.100,  0.798 
387.200,  0.756 
387.300,  0.664 
387.400,  0.760 
387.500,  0.774 
387.600,  0.800 
387.700,  0.801 
387.800,  0.492 
387.900,  0.582 
388.000,  0.754 
388.100,  0.760 
388.200,  0.635 
388.300,  0.651 
388.400,  0.644 
388.500,  0.570 
388.600,  0.435 
388.700,  0.445 
388.800,  0.385 
388.900,  0.220 
389.000,  0.362 
389.100,  0.456 
389.200,  0.530 
389.300,  0.523 
389.400,  0.564 
389.500,  0.648 
389.600,  0.560 
389.700,  0.744 
389.800,  0.627 
389.900,  0.698 
390.000,  0.658 
390.100,  0.739 
390.200,  0.817 
390.300,  0.675 
390.400,  0.614 
390.500,  0.722 
390.600,  0.668 
390.700,  0.702 
390.800,  0.838 
390.900,  0.810 
391.000,  0.812 
391.100,  0.820 
391.200,  0.860 
391.300,  0.844 
391.400,  0.691 
391.500,  0.891 
391.600,  0.806 
391.700,  0.811 
391.800,  0.796 
391.900,  0.686 
392.000,  0.742 
392.100,  0.763 
392.200,  0.874 
392.300,  0.719 
392.400,  0.903 
392.500,  0.861 
392.600,  0.715 
392.700,  0.890 
392.800,  0.625 
392.900,  0.712 
393.000,  0.527 
393.100,  0.508 
393.200,  0.343 
393.300,  0.211 
393.400,  0.157 
393.500,  0.300 
393.600,  0.418 
393.700,  0.624 
393.800,  0.555 
393.900,  0.738 
394.000,  0.845 
394.100,  0.749 
394.200,  0.792 
394.300,  0.765 
394.400,  0.678 
394.500,  0.707 
394.600,  0.923 
394.700,  0.793 
394.800,  0.744 
394.900,  0.708 
395.000,  0.712 
395.100,  0.811 
395.200,  0.804 
395.300,  0.702 
395.400,  0.848 
395.500,  0.779 
395.600,  0.711 
395.700,  0.644 
395.800,  0.739 
395.900,  0.797 
396.000,  0.756 
396.100,  0.636 
396.200,  0.589 
396.300,  0.621 
396.400,  0.576 
396.500,  0.532 
396.600,  0.411 
396.700,  0.331 
396.800,  0.201 
396.900,  0.187 
397.000,  0.213 
397.100,  0.327 
397.200,  0.441 
397.300,  0.487 
397.400,  0.478 
397.500,  0.569 
397.600,  0.620 
397.700,  0.620 
397.800,  0.662 
397.900,  0.725 
398.000,  0.766 
398.100,  0.761 
398.200,  0.624 
398.300,  0.756 
398.400,  0.702 
398.500,  0.772 
398.600,  0.776 
398.700,  0.749 
398.800,  0.859 
398.900,  0.881 
399.000,  0.769 
399.100,  0.834 
399.200,  0.883 
399.300,  0.918 
399.400,  0.731 
399.500,  0.775 
399.600,  0.845 
399.700,  0.755 
399.800,  0.849 
399.900,  0.730 
400.000,  0.915 
400.100,  0.933 
400.200,  0.807 
400.300,  0.850 
400.400,  0.895 
400.500,  0.718 
400.600,  0.835 
400.700,  0.822 
400.800,  0.958 
400.900,  0.932 
401.000,  0.795 
401.100,  0.916 
401.200,  0.724 
401.300,  0.936 
401.400,  0.855 
401.500,  0.842 
401.600,  0.861 
401.700,  0.914 
401.800,  0.820 
401.900,  0.951 
402.000,  0.897 
402.100,  0.934 
402.200,  0.800 
402.300,  0.871 
402.400,  0.858 
402.500,  0.716 
402.600,  0.885 
402.700,  0.935 
402.800,  0.858 
402.900,  0.938 
403.000,  0.767 
403.100,  0.729 
403.200,  0.804 
403.300,  0.707 
403.400,  0.853 
403.500,  0.930 
403.600,  0.717 
403.700,  0.912 
403.800,  0.930 
403.900,  0.898 
404.000,  0.955 
404.100,  0.793 
404.200,  0.872 
404.300,  0.956 
404.400,  0.853 
404.500,  0.862 
404.600,  0.615 
404.700,  0.945 
404.800,  0.967 
404.900,  0.796 
405.000,  0.947 
405.100,  0.925 
405.200,  0.848 
405.300,  0.899 
405.400,  0.832 
405.500,  0.768 
405.600,  0.887 
405.700,  0.871 
405.800,  0.785 
405.900,  0.847 
406.000,  0.908 
406.100,  0.921 
406.200,  0.856 
406.300,  0.792 
406.400,  0.717 
406.500,  0.884 
406.600,  0.927 
406.700,  0.707 
406.800,  0.865 
406.900,  0.874 
407.000,  0.884 
407.100,  0.753 
407.200,  0.730 
407.300,  0.896 
407.400,  0.868 
407.500,  0.831 
407.600,  0.834 
407.700,  0.701 
407.800,  0.661 
407.900,  0.821 
408.000,  0.785 
408.100,  0.885 
408.200,  0.828 
408.300,  0.832 
408.400,  0.756 
408.500,  0.725 
408.600,  0.830 
408.700,  0.815 
408.800,  0.815 
408.900,  0.792 
409.000,  0.771 
409.100,  0.751 
409.200,  0.760 
409.300,  0.742 
409.400,  0.737 
409.500,  0.711 
409.600,  0.630 
409.700,  0.618 
409.800,  0.570 
409.900,  0.546 
410.000,  0.467 
410.100,  0.343 
410.200,  0.248 
410.300,  0.408 
410.400,  0.499 
410.500,  0.547 
410.600,  0.617 
410.700,  0.646 
410.800,  0.677 
410.900,  0.686 
411.000,  0.695 
411.100,  0.710 
411.200,  0.730 
411.300,  0.717 
411.400,  0.801 
411.500,  0.766 
411.600,  0.839 
411.700,  0.848 
411.800,  0.831 
411.900,  0.718 
412.000,  0.807 
412.100,  0.853 
412.200,  0.892 
412.300,  0.818 
412.400,  0.873 
412.500,  0.897 
412.600,  0.793 
412.700,  0.899 
412.800,  0.694 
412.900,  0.779 
413.000,  0.897 
413.100,  0.871 
413.200,  0.743 
413.300,  0.847 
413.400,  0.820 
413.500,  0.845 
413.600,  0.929 
413.700,  0.800 
413.800,  0.894 
413.900,  0.965 
414.000,  0.905 
414.100,  0.958 
414.200,  0.863 
414.300,  0.840 
414.400,  0.777 
414.500,  0.955 
414.600,  0.884 
414.700,  0.939 
414.800,  0.863 
414.900,  0.826 
415.000,  0.860 
415.100,  0.928 
415.200,  0.876 
415.300,  0.959 
415.400,  0.735 
415.500,  0.836 
415.600,  0.890 
415.700,  0.821 
415.800,  0.874 
415.900,  0.895 
416.000,  0.951 
416.100,  0.863 
416.200,  0.827 
416.300,  0.916 
416.400,  0.867 
416.500,  0.927 
416.600,  0.968 
416.700,  0.830 
416.800,  0.899 
416.900,  0.952 
417.000,  0.923 
417.100,  0.885 
417.200,  0.726 
417.300,  0.761 
417.400,  0.806 
417.500,  0.912 
417.600,  0.811 
417.700,  0.815 
417.800,  0.789 
417.900,  0.836 
418.000,  0.943 
418.100,  0.904 
418.200,  0.806 
418.300,  0.900 
418.400,  0.926 
418.500,  0.882 
418.600,  0.963 
418.700,  0.828 
418.800,  0.820 
418.900,  0.895 
419.000,  0.887 
419.100,  0.878 
419.200,  0.893 
419.300,  0.966 
419.400,  0.952 
419.500,  0.869 
419.600,  0.796 
419.700,  0.941 
419.800,  0.818 
419.900,  0.755 
420.000,  0.906 
420.100,  0.895 
420.200,  0.756 
420.300,  0.911 
420.400,  0.850 
420.500,  0.810 
420.600,  0.898 
420.700,  0.841 
420.800,  0.992 
420.900,  0.900 
421.000,  0.827 
421.100,  0.952 
421.200,  0.950 
421.300,  0.957 
421.400,  0.909 
421.500,  0.909 
421.600,  0.693 
421.700,  0.894 
421.800,  0.906 
421.900,  0.877 
422.000,  0.890 
422.100,  0.987 
422.200,  0.874 
422.300,  0.962 
422.400,  0.858 
422.500,  0.835 
422.600,  0.804 
422.700,  0.607 
422.800,  0.939 
422.900,  0.931 
423.000,  0.952 
423.100,  0.972 
423.200,  0.959 
423.300,  0.825 
423.400,  0.848 
423.500,  0.895 
423.600,  0.802 
423.700,  0.963 
423.800,  0.899 
423.900,  0.847 
424.000,  0.795 
424.100,  0.919 
424.200,  0.901 
424.300,  0.907 
424.400,  0.941 
424.500,  0.846 
424.600,  0.915 
424.700,  0.739 
424.800,  0.910 
424.900,  0.960 
425.000,  0.851 
425.100,  0.805 
425.200,  0.951 
425.300,  0.925 
425.400,  0.838 
425.500,  0.952 
425.600,  0.933 
425.700,  0.981 
425.800,  0.856 
425.900,  0.960 
426.000,  0.764 
426.100,  0.882 
426.200,  0.887 
426.300,  0.860 
426.400,  0.921 
426.500,  0.925 
426.600,  0.943 
426.700,  0.951 
426.800,  0.912 
426.900,  0.864 
427.000,  0.910 
427.100,  0.823 
427.200,  0.749 
427.300,  0.891 
427.400,  0.905 
427.500,  0.823 
427.600,  0.920 
427.700,  0.915 
427.800,  0.887 
427.900,  0.952 
428.000,  0.897 
428.100,  0.903 
428.200,  0.855 
428.300,  0.838 
428.400,  0.914 
428.500,  0.865 
428.600,  0.897 
428.700,  0.870 
428.800,  0.823 
428.900,  0.824 
429.000,  0.623 
429.100,  0.870 
429.200,  0.912 
429.300,  0.947 
429.400,  0.828 
429.500,  0.867 
429.600,  0.893 
429.700,  0.843 
429.800,  0.886 
429.900,  0.705 
430.000,  0.761 
430.100,  0.802 
430.200,  0.766 
430.300,  0.751 
430.400,  0.898 
430.500,  0.830 
430.600,  0.791 
430.700,  0.883 
430.800,  0.639 
430.900,  0.790 
431.000,  0.814 
431.100,  0.904 
431.200,  0.905 
431.300,  0.809 
431.400,  0.768 
431.500,  0.737 
431.600,  0.932 
431.700,  0.863 
431.800,  0.916 
431.900,  0.827 
432.000,  0.895 
432.100,  0.721 
432.200,  0.860 
432.300,  0.863 
432.400,  0.837 
432.500,  0.738 
432.600,  0.632 
432.700,  0.741 
432.800,  0.781 
432.900,  0.818 
433.000,  0.750 
433.100,  0.719 
433.200,  0.752 
433.300,  0.725 
433.400,  0.707 
433.500,  0.692 
433.600,  0.664 
433.700,  0.563 
433.800,  0.481 
433.900,  0.457 
434.000,  0.301 
434.100,  0.309 
434.200,  0.472 
434.300,  0.553 
434.400,  0.534 
434.500,  0.636 
434.600,  0.697 
434.700,  0.706 
434.800,  0.726 
434.900,  0.760 
435.000,  0.784 
435.100,  0.756 
435.200,  0.615 
435.300,  0.757 
435.400,  0.830 
435.500,  0.813 
435.600,  0.862 
435.700,  0.874 
435.800,  0.869 
435.900,  0.847 
436.000,  0.834 
436.100,  0.887 
436.200,  0.902 
436.300,  0.893 
436.400,  0.919 
436.500,  0.930 
436.600,  0.918 
436.700,  0.927 
436.800,  0.780 
436.900,  0.920 
437.000,  0.863 
437.100,  0.875 
437.200,  0.939 
437.300,  0.939 
437.400,  0.837 
437.500,  0.784 
437.600,  0.866 
437.700,  0.911 
437.800,  0.950 
437.900,  0.920 
438.000,  0.935 
438.100,  0.958 
438.200,  0.957 
438.300,  0.814 
438.400,  0.750 
438.500,  0.752 
438.600,  0.961 
438.700,  0.895 
438.800,  0.829 
438.900,  0.963 
439.000,  0.907 
439.100,  0.850 
439.200,  0.942 
439.300,  0.946 
439.400,  0.889 
439.500,  0.801 
439.600,  0.888 
439.700,  0.973 
439.800,  0.843 
439.900,  0.977 
440.000,  0.763 
440.100,  0.866 
440.200,  0.925 
440.300,  0.953 
440.400,  0.961 
440.500,  0.806 
440.600,  0.981 
440.700,  0.973 
440.800,  0.792 
440.900,  0.877 
441.000,  0.939 
441.100,  0.908 
441.200,  0.905 
441.300,  0.976 
441.400,  0.914 
441.500,  0.796 
441.600,  0.918 
441.700,  0.867 
441.800,  0.804 
441.900,  0.967 
442.000,  0.959 
442.100,  0.913 
442.200,  0.865 
442.300,  0.889 
442.400,  0.895 
442.500,  0.913 
442.600,  0.945 
442.700,  0.867 
442.800,  0.962 
442.900,  0.967 
443.000,  0.904 
443.100,  0.877 
443.200,  0.948 
443.300,  0.874 
443.400,  0.929 
443.500,  0.853 
443.600,  0.858 
443.700,  0.968 
443.800,  0.949 
443.900,  0.980 
444.000,  0.946 
444.100,  0.937 
444.200,  0.820 
444.300,  0.850 
444.400,  0.798 
444.500,  0.932 
444.600,  0.948 
444.700,  0.939 
444.800,  0.904 
444.900,  0.954 
445.000,  0.852 
445.100,  0.923 
445.200,  0.932 
445.300,  0.919 
445.400,  0.903 
445.500,  0.725 
445.600,  0.837 
445.700,  0.884 
445.800,  0.862 
445.900,  0.823 
446.000,  0.952 
446.100,  0.857 
446.200,  0.778 
446.300,  0.955 
446.400,  0.925 
446.500,  0.889 
446.600,  0.943 
446.700,  0.867 
446.800,  0.917 
446.900,  0.789 
447.000,  0.896 
447.100,  0.876 
447.200,  0.950 
447.300,  0.938 
447.400,  0.952 
447.500,  0.983 
447.600,  0.837 
447.700,  0.988 
447.800,  0.978 
447.900,  0.965 
448.000,  0.897 
448.100,  0.723 
448.200,  0.829 
448.300,  0.909 
448.400,  0.888 
448.500,  0.980 
448.600,  0.927 
448.700,  0.947 
448.800,  0.870 
448.900,  0.912 
449.000,  0.907 
449.100,  0.842 
449.200,  0.973 
449.300,  0.942 
449.400,  0.936 
449.500,  0.872 
449.600,  0.939 
449.700,  0.891 
449.800,  0.958 
449.900,  0.914 
450.000,  0.953 
450.100,  0.850 
450.200,  0.957 
450.300,  0.991 
450.400,  0.978 
450.500,  0.981 
450.600,  0.979 
450.700,  0.962 
450.800,  0.883 
450.900,  0.986 
451.000,  0.986 
451.100,  0.969 
451.200,  0.970 
451.300,  0.962 
451.400,  0.970 
451.500,  0.878 
451.600,  0.946 
451.700,  0.967 
451.800,  0.853 
451.900,  0.990 
452.000,  0.895 
452.100,  0.980 
452.200,  0.957 
452.300,  0.817 
452.400,  0.982 
452.500,  0.800 
452.600,  0.945 
452.700,  0.893 
452.800,  0.938 
452.900,  0.775 
453.000,  0.961 
453.100,  0.848 
453.200,  0.958 
453.300,  0.913 
453.400,  0.787 
453.500,  0.913 
453.600,  0.844 
453.700,  0.973 
453.800,  0.961 
453.900,  0.973 
454.000,  0.964 
454.100,  0.896 
454.200,  0.920 
454.300,  0.983 
454.400,  0.939 
454.500,  0.901 
454.600,  0.923 
454.700,  0.939 
454.800,  0.906 
454.900,  0.835 
455.000,  0.774 
455.100,  0.987 
455.200,  0.946 
455.300,  0.979 
455.400,  0.878 
455.500,  0.891 
455.600,  0.795 
455.700,  0.976 
455.800,  0.977 
455.900,  0.878 
456.000,  0.968 
456.100,  0.973 
456.200,  0.985 
456.300,  0.987 
456.400,  0.857 
456.500,  0.938 
456.600,  0.945 
456.700,  0.973 
456.800,  0.930 
456.900,  0.951 
457.000,  0.973 
457.100,  0.933 
457.200,  0.808 
457.300,  0.972 
457.400,  0.984 
457.500,  0.969 
457.600,  0.896 
457.700,  0.980 
457.800,  0.948 
457.900,  0.911 
458.000,  0.872 
458.100,  0.861 
458.200,  0.939 
458.300,  0.876 
458.400,  0.818 
458.500,  0.955 
458.600,  0.851 
458.700,  0.971 
458.800,  0.873 
458.900,  0.940 
459.000,  0.877 
459.100,  0.926 
459.200,  0.869 
459.300,  0.894 
459.400,  0.959 
459.500,  0.935 
459.600,  0.869 
459.700,  0.972 
459.800,  0.926 
459.900,  0.976 
460.000,  0.926 
460.100,  0.852 
460.200,  0.888 
460.300,  0.899 
460.400,  0.987 
460.500,  0.888 
460.600,  0.972 
460.700,  0.979 
460.800,  0.938 
460.900,  0.946 
461.000,  0.976 
461.100,  0.893 
461.200,  0.954 
461.300,  0.901 
461.400,  0.929 
461.500,  0.983 
461.600,  0.897 
461.700,  0.898 
461.800,  0.948 
461.900,  0.819 
462.000,  0.940 
462.100,  0.942 
462.200,  0.956 
462.300,  0.954 
462.400,  0.991 
462.500,  0.939 
462.600,  0.894 
462.700,  0.952 
462.800,  0.984 
462.900,  0.872 
463.000,  0.962 
463.100,  0.978 
463.200,  0.983 
463.300,  0.936 
463.400,  0.849 
463.500,  0.941 
463.600,  0.920 
463.700,  0.954 
463.800,  0.899 
463.900,  0.981 
464.000,  0.954 
464.100,  0.994 
464.200,  0.990 
464.300,  0.941 
464.400,  0.981 
464.500,  0.949 
464.600,  0.921 
464.700,  0.924 
464.800,  0.965 
464.900,  0.883 
465.000,  0.980 
465.100,  0.952 
465.200,  0.930 
465.300,  0.985 
465.400,  0.963 
465.500,  0.893 
465.600,  0.940 
465.700,  0.872 
465.800,  0.993 
465.900,  0.976 
466.000,  0.990 
466.100,  0.977 
