wavelength, flux 
380.000,  0.451 
380.100,  0.617 
380.200,  0.480 
380.300,  0.680 
380.400,  0.731 
380.500,  0.528 
380.600,  0.564 
380.700,  0.344 
380.800,  0.591 
380.900,  0.635 
381.000,  0.739 
381.100,  0.584 
381.200,  0.675 
381.300,  0.570 
381.400,  0.556 
381.500,  0.478 
381.600,  0.212 
381.700,  0.621 
381.800,  0.506 
381.900,  0.605 
382.000,  0.243 
382.100,  0.299 
382.200,  0.449 
382.300,  0.609 
382.400,  0.327 
382.500,  0.325 
382.600,  0.228 
382.700,  0.432 
382.800,  0.275 
382.900,  0.324 
383.000,  0.414 
383.100,  0.478 
383.200,  0.195 
383.300,  0.292 
383.400,  0.216 
383.500,  0.307 
383.600,  0.351 
383.700,  0.391 
383.800,  0.212 
383.900,  0.298 
384.000,  0.340 
384.100,  0.246 
384.200,  0.529 
384.300,  0.479 
384.400,  0.475 
384.500,  0.585 
384.600,  0.578 
384.700,  0.506 
384.800,  0.631 
384.900,  0.535 
385.000,  0.379 
385.100,  0.542 
385.200,  0.571 
385.300,  0.563 
385.400,  0.512 
385.500,  0.539 
385.600,  0.300 
385.700,  0.527 
385.800,  0.402 
385.900,  0.299 
386.000,  0.182 
386.100,  0.360 
386.200,  0.575 
386.300,  0.523 
386.400,  0.523 
386.500,  0.539 
386.600,  0.456 
386.700,  0.433 
386.800,  0.439 
386.900,  0.464 
387.000,  0.404 
387.100,  0.283 
387.200,  0.361 
387.300,  0.405 
387.400,  0.553 
387.500,  0.523 
387.600,  0.593 
387.700,  0.540 
387.800,  0.291 
387.900,  0.377 
388.000,  0.468 
388.100,  0.512 
388.200,  0.378 
388.300,  0.273 
388.400,  0.649 
388.500,  0.532 
388.600,  0.253 
388.700,  0.373 
388.800,  0.507 
388.900,  0.264 
389.000,  0.430 
389.100,  0.501 
389.200,  0.613 
389.300,  0.458 
389.400,  0.591 
389.500,  0.483 
389.600,  0.437 
389.700,  0.774 
389.800,  0.502 
389.900,  0.636 
390.000,  0.470 
390.100,  0.698 
390.200,  0.587 
390.300,  0.445 
390.400,  0.516 
390.500,  0.521 
390.600,  0.433 
390.700,  0.515 
390.800,  0.664 
390.900,  0.652 
391.000,  0.575 
391.100,  0.597 
391.200,  0.693 
391.300,  0.693 
391.400,  0.509 
391.500,  0.729 
391.600,  0.529 
391.700,  0.634 
391.800,  0.615 
391.900,  0.474 
392.000,  0.410 
392.100,  0.389 
392.200,  0.515 
392.300,  0.347 
392.400,  0.597 
392.500,  0.532 
392.600,  0.410 
392.700,  0.473 
392.800,  0.235 
392.900,  0.300 
393.000,  0.199 
393.100,  0.208 
393.200,  0.178 
393.300,  0.129 
393.400,  0.099 
393.500,  0.167 
393.600,  0.185 
393.700,  0.248 
393.800,  0.259 
393.900,  0.374 
394.000,  0.447 
394.100,  0.417 
394.200,  0.482 
394.300,  0.478 
394.400,  0.332 
394.500,  0.460 
394.600,  0.716 
394.700,  0.582 
394.800,  0.508 
394.900,  0.510 
395.000,  0.540 
395.100,  0.672 
395.200,  0.662 
395.300,  0.425 
395.400,  0.730 
395.500,  0.656 
395.600,  0.592 
395.700,  0.499 
395.800,  0.611 
395.900,  0.733 
396.000,  0.655 
396.100,  0.447 
396.200,  0.331 
396.300,  0.405 
396.400,  0.368 
396.500,  0.316 
396.600,  0.219 
396.700,  0.182 
396.800,  0.124 
396.900,  0.118 
397.000,  0.179 
397.100,  0.237 
397.200,  0.303 
397.300,  0.353 
397.400,  0.358 
397.500,  0.453 
397.600,  0.518 
397.700,  0.535 
397.800,  0.598 
397.900,  0.656 
398.000,  0.741 
398.100,  0.703 
398.200,  0.537 
398.300,  0.621 
398.400,  0.605 
398.500,  0.660 
398.600,  0.706 
398.700,  0.605 
398.800,  0.840 
398.900,  0.831 
399.000,  0.592 
399.100,  0.766 
399.200,  0.768 
399.300,  0.846 
399.400,  0.587 
399.500,  0.598 
399.600,  0.733 
399.700,  0.614 
399.800,  0.732 
399.900,  0.573 
400.000,  0.838 
400.100,  0.775 
400.200,  0.757 
400.300,  0.745 
400.400,  0.815 
400.500,  0.489 
400.600,  0.706 
400.700,  0.621 
400.800,  0.904 
400.900,  0.840 
401.000,  0.645 
401.100,  0.810 
401.200,  0.587 
401.300,  0.858 
401.400,  0.710 
401.500,  0.739 
401.600,  0.775 
401.700,  0.764 
401.800,  0.720 
401.900,  0.847 
402.000,  0.701 
402.100,  0.837 
402.200,  0.618 
402.300,  0.796 
402.400,  0.700 
402.500,  0.575 
402.600,  0.739 
402.700,  0.778 
402.800,  0.790 
402.900,  0.901 
403.000,  0.631 
403.100,  0.507 
403.200,  0.672 
403.300,  0.516 
403.400,  0.612 
403.500,  0.801 
403.600,  0.593 
403.700,  0.800 
403.800,  0.847 
403.900,  0.778 
404.000,  0.855 
404.100,  0.655 
404.200,  0.746 
404.300,  0.862 
404.400,  0.671 
404.500,  0.575 
404.600,  0.304 
404.700,  0.746 
404.800,  0.849 
404.900,  0.686 
405.000,  0.797 
405.100,  0.820 
405.200,  0.721 
405.300,  0.746 
405.400,  0.798 
405.500,  0.600 
405.600,  0.816 
405.700,  0.765 
405.800,  0.622 
405.900,  0.688 
406.000,  0.796 
406.100,  0.842 
406.200,  0.732 
406.300,  0.552 
406.400,  0.401 
406.500,  0.738 
406.600,  0.741 
406.700,  0.581 
406.800,  0.778 
406.900,  0.745 
407.000,  0.763 
407.100,  0.571 
407.200,  0.448 
407.300,  0.815 
407.400,  0.800 
407.500,  0.690 
407.600,  0.706 
407.700,  0.540 
407.800,  0.519 
407.900,  0.742 
408.000,  0.723 
408.100,  0.852 
408.200,  0.770 
408.300,  0.776 
408.400,  0.607 
408.500,  0.649 
408.600,  0.811 
408.700,  0.821 
408.800,  0.858 
408.900,  0.825 
409.000,  0.766 
409.100,  0.784 
409.200,  0.832 
409.300,  0.800 
409.400,  0.857 
409.500,  0.790 
409.600,  0.642 
409.700,  0.692 
409.800,  0.705 
409.900,  0.713 
410.000,  0.612 
410.100,  0.482 
410.200,  0.361 
410.300,  0.549 
410.400,  0.660 
410.500,  0.612 
410.600,  0.738 
410.700,  0.753 
410.800,  0.752 
410.900,  0.751 
411.000,  0.770 
411.100,  0.778 
411.200,  0.742 
411.300,  0.726 
411.400,  0.853 
411.500,  0.751 
411.600,  0.833 
411.700,  0.828 
411.800,  0.795 
411.900,  0.580 
412.000,  0.751 
412.100,  0.825 
412.200,  0.845 
412.300,  0.739 
412.400,  0.776 
412.500,  0.873 
412.600,  0.711 
412.700,  0.820 
412.800,  0.572 
412.900,  0.698 
413.000,  0.794 
413.100,  0.795 
413.200,  0.552 
413.300,  0.742 
413.400,  0.584 
413.500,  0.690 
413.600,  0.864 
413.700,  0.662 
413.800,  0.784 
413.900,  0.878 
414.000,  0.755 
414.100,  0.853 
414.200,  0.676 
414.300,  0.670 
414.400,  0.500 
414.500,  0.838 
414.600,  0.782 
414.700,  0.864 
414.800,  0.764 
414.900,  0.711 
415.000,  0.635 
415.100,  0.849 
415.200,  0.720 
415.300,  0.867 
415.400,  0.532 
415.500,  0.727 
415.600,  0.776 
415.700,  0.706 
415.800,  0.705 
415.900,  0.776 
416.000,  0.872 
416.100,  0.747 
416.200,  0.713 
416.300,  0.799 
416.400,  0.760 
416.500,  0.775 
416.600,  0.889 
416.700,  0.662 
416.800,  0.754 
416.900,  0.857 
417.000,  0.780 
417.100,  0.802 
417.200,  0.590 
417.300,  0.596 
417.400,  0.690 
417.500,  0.731 
417.600,  0.691 
417.700,  0.682 
417.800,  0.623 
417.900,  0.738 
418.000,  0.842 
418.100,  0.743 
418.200,  0.661 
418.300,  0.745 
418.400,  0.850 
418.500,  0.753 
418.600,  0.745 
418.700,  0.636 
418.800,  0.662 
418.900,  0.730 
419.000,  0.747 
419.100,  0.738 
419.200,  0.731 
419.300,  0.857 
419.400,  0.824 
419.500,  0.633 
419.600,  0.647 
419.700,  0.787 
419.800,  0.665 
419.900,  0.552 
420.000,  0.753 
420.100,  0.681 
420.200,  0.445 
420.300,  0.729 
420.400,  0.723 
420.500,  0.635 
420.600,  0.804 
420.700,  0.651 
420.800,  0.957 
420.900,  0.825 
421.000,  0.663 
421.100,  0.802 
421.200,  0.848 
421.300,  0.775 
421.400,  0.759 
421.500,  0.793 
421.600,  0.494 
421.700,  0.683 
421.800,  0.784 
421.900,  0.714 
422.000,  0.791 
422.100,  0.919 
422.200,  0.766 
422.300,  0.805 
422.400,  0.693 
422.500,  0.661 
