wavelength, flux 
380.000,  0.230 
380.100,  0.470 
380.200,  0.365 
380.300,  0.496 
380.400,  0.568 
380.500,  0.326 
380.600,  0.339 
380.700,  0.157 
380.800,  0.370 
380.900,  0.406 
381.000,  0.521 
381.100,  0.351 
381.200,  0.458 
381.300,  0.311 
381.400,  0.313 
381.500,  0.200 
381.600,  0.087 
381.700,  0.273 
381.800,  0.230 
381.900,  0.237 
382.000,  0.085 
382.100,  0.106 
382.200,  0.177 
382.300,  0.235 
382.400,  0.106 
382.500,  0.107 
382.600,  0.080 
382.700,  0.153 
382.800,  0.106 
382.900,  0.142 
383.000,  0.205 
383.100,  0.212 
383.200,  0.098 
383.300,  0.136 
383.400,  0.085 
383.500,  0.171 
383.600,  0.233 
383.700,  0.197 
383.800,  0.101 
383.900,  0.136 
384.000,  0.131 
384.100,  0.095 
384.200,  0.244 
384.300,  0.238 
384.400,  0.262 
384.500,  0.298 
384.600,  0.307 
384.700,  0.226 
384.800,  0.316 
384.900,  0.246 
385.000,  0.132 
385.100,  0.229 
385.200,  0.296 
385.300,  0.230 
385.400,  0.179 
385.500,  0.225 
385.600,  0.097 
385.700,  0.158 
385.800,  0.134 
385.900,  0.098 
386.000,  0.052 
386.100,  0.107 
386.200,  0.236 
386.300,  0.273 
386.400,  0.250 
386.500,  0.239 
386.600,  0.192 
386.700,  0.238 
386.800,  0.195 
386.900,  0.212 
387.000,  0.183 
387.100,  0.099 
387.200,  0.156 
387.300,  0.197 
387.400,  0.325 
387.500,  0.285 
387.600,  0.332 
387.700,  0.273 
387.800,  0.106 
387.900,  0.144 
388.000,  0.221 
388.100,  0.252 
388.200,  0.181 
388.300,  0.121 
388.400,  0.474 
388.500,  0.284 
388.600,  0.080 
388.700,  0.131 
388.800,  0.298 
388.900,  0.215 
389.000,  0.356 
389.100,  0.419 
389.200,  0.560 
389.300,  0.352 
389.400,  0.436 
389.500,  0.291 
389.600,  0.201 
389.700,  0.573 
389.800,  0.284 
389.900,  0.346 
390.000,  0.164 
390.100,  0.475 
390.200,  0.387 
390.300,  0.210 
390.400,  0.354 
390.500,  0.330 
390.600,  0.220 
390.700,  0.306 
390.800,  0.502 
390.900,  0.513 
391.000,  0.432 
391.100,  0.440 
391.200,  0.549 
391.300,  0.553 
391.400,  0.387 
391.500,  0.579 
391.600,  0.383 
391.700,  0.415 
391.800,  0.443 
391.900,  0.284 
392.000,  0.167 
392.100,  0.193 
392.200,  0.271 
392.300,  0.126 
392.400,  0.355 
392.500,  0.337 
392.600,  0.252 
392.700,  0.267 
392.800,  0.108 
392.900,  0.179 
393.000,  0.099 
393.100,  0.131 
393.200,  0.123 
393.300,  0.081 
393.400,  0.060 
393.500,  0.113 
393.600,  0.125 
393.700,  0.176 
393.800,  0.184 
393.900,  0.263 
394.000,  0.302 
394.100,  0.259 
394.200,  0.314 
394.300,  0.283 
394.400,  0.141 
394.500,  0.272 
394.600,  0.509 
394.700,  0.393 
394.800,  0.313 
394.900,  0.343 
395.000,  0.376 
395.100,  0.513 
395.200,  0.509 
395.300,  0.305 
395.400,  0.585 
395.500,  0.503 
395.600,  0.418 
395.700,  0.310 
395.800,  0.405 
395.900,  0.557 
396.000,  0.449 
396.100,  0.213 
396.200,  0.159 
396.300,  0.239 
396.400,  0.235 
396.500,  0.218 
396.600,  0.146 
396.700,  0.123 
396.800,  0.079 
396.900,  0.072 
397.000,  0.123 
397.100,  0.163 
397.200,  0.213 
397.300,  0.241 
397.400,  0.256 
397.500,  0.321 
397.600,  0.381 
397.700,  0.387 
397.800,  0.419 
397.900,  0.499 
398.000,  0.606 
398.100,  0.557 
398.200,  0.393 
398.300,  0.492 
398.400,  0.451 
398.500,  0.522 
398.600,  0.576 
398.700,  0.495 
398.800,  0.759 
398.900,  0.730 
399.000,  0.396 
399.100,  0.655 
399.200,  0.640 
399.300,  0.728 
399.400,  0.457 
399.500,  0.473 
399.600,  0.611 
399.700,  0.448 
399.800,  0.563 
399.900,  0.431 
400.000,  0.748 
400.100,  0.685 
400.200,  0.649 
400.300,  0.639 
400.400,  0.671 
400.500,  0.294 
400.600,  0.515 
400.700,  0.485 
400.800,  0.821 
400.900,  0.724 
401.000,  0.503 
401.100,  0.687 
401.200,  0.489 
401.300,  0.769 
401.400,  0.566 
401.500,  0.619 
401.600,  0.672 
401.700,  0.630 
401.800,  0.600 
401.900,  0.739 
402.000,  0.583 
402.100,  0.758 
402.200,  0.450 
402.300,  0.724 
402.400,  0.572 
402.500,  0.418 
402.600,  0.600 
402.700,  0.632 
402.800,  0.711 
402.900,  0.803 
403.000,  0.419 
403.100,  0.238 
403.200,  0.471 
403.300,  0.212 
403.400,  0.343 
403.500,  0.519 
403.600,  0.460 
403.700,  0.673 
403.800,  0.751 
403.900,  0.658 
404.000,  0.722 
404.100,  0.502 
404.200,  0.576 
404.300,  0.699 
404.400,  0.415 
404.500,  0.263 
404.600,  0.117 
404.700,  0.398 
404.800,  0.613 
404.900,  0.530 
405.000,  0.670 
405.100,  0.684 
405.200,  0.609 
405.300,  0.597 
405.400,  0.732 
405.500,  0.400 
405.600,  0.721 
405.700,  0.629 
405.800,  0.435 
405.900,  0.527 
406.000,  0.654 
406.100,  0.687 
406.200,  0.527 
406.300,  0.266 
406.400,  0.173 
406.500,  0.497 
406.600,  0.550 
406.700,  0.412 
406.800,  0.614 
406.900,  0.604 
407.000,  0.590 
407.100,  0.294 
407.200,  0.192 
407.300,  0.599 
407.400,  0.623 
407.500,  0.493 
407.600,  0.561 
407.700,  0.361 
407.800,  0.402 
407.900,  0.616 
408.000,  0.571 
408.100,  0.738 
408.200,  0.641 
408.300,  0.641 
408.400,  0.437 
408.500,  0.481 
408.600,  0.717 
408.700,  0.741 
408.800,  0.782 
408.900,  0.753 
409.000,  0.655 
409.100,  0.678 
409.200,  0.733 
409.300,  0.708 
409.400,  0.789 
409.500,  0.643 
409.600,  0.468 
409.700,  0.575 
409.800,  0.615 
409.900,  0.660 
410.000,  0.555 
410.100,  0.465 
410.200,  0.395 
410.300,  0.527 
410.400,  0.607 
410.500,  0.499 
410.600,  0.680 
410.700,  0.638 
410.800,  0.598 
410.900,  0.667 
411.000,  0.627 
411.100,  0.635 
411.200,  0.536 
411.300,  0.594 
411.400,  0.707 
411.500,  0.597 
411.600,  0.655 
411.700,  0.666 
411.800,  0.594 
411.900,  0.388 
412.000,  0.588 
412.100,  0.657 
412.200,  0.663 
412.300,  0.585 
412.400,  0.619 
412.500,  0.760 
412.600,  0.560 
412.700,  0.657 
412.800,  0.377 
412.900,  0.566 
413.000,  0.618 
413.100,  0.592 
413.200,  0.285 
413.300,  0.476 
413.400,  0.361 
413.500,  0.472 
413.600,  0.701 
413.700,  0.445 
413.800,  0.606 
413.900,  0.668 
414.000,  0.558 
414.100,  0.651 
414.200,  0.439 
414.300,  0.330 
414.400,  0.214 
414.500,  0.551 
414.600,  0.565 
414.700,  0.666 
414.800,  0.532 
414.900,  0.534 
415.000,  0.422 
415.100,  0.656 
415.200,  0.523 
415.300,  0.664 
415.400,  0.346 
415.500,  0.491 
415.600,  0.597 
415.700,  0.488 
415.800,  0.449 
415.900,  0.640 
416.000,  0.665 
416.100,  0.600 
416.200,  0.546 
416.300,  0.628 
416.400,  0.584 
416.500,  0.518 
416.600,  0.681 
416.700,  0.421 
416.800,  0.539 
416.900,  0.656 
417.000,  0.584 
417.100,  0.630 
417.200,  0.393 
417.300,  0.427 
417.400,  0.522 
417.500,  0.494 
417.600,  0.442 
417.700,  0.542 
417.800,  0.464 
417.900,  0.559 
418.000,  0.601 
418.100,  0.508 
418.200,  0.441 
418.300,  0.557 
418.400,  0.705 
418.500,  0.535 
418.600,  0.542 
418.700,  0.394 
418.800,  0.448 
418.900,  0.559 
419.000,  0.551 
419.100,  0.540 
419.200,  0.502 
419.300,  0.698 
419.400,  0.608 
419.500,  0.419 
419.600,  0.419 
419.700,  0.464 
419.800,  0.446 
419.900,  0.325 
420.000,  0.534 
420.100,  0.448 
420.200,  0.209 
420.300,  0.473 
420.400,  0.511 
420.500,  0.525 
420.600,  0.676 
420.700,  0.509 
420.800,  0.844 
420.900,  0.696 
421.000,  0.445 
421.100,  0.610 
421.200,  0.653 
421.300,  0.541 
421.400,  0.540 
421.500,  0.539 
421.600,  0.316 
421.700,  0.547 
421.800,  0.605 
421.900,  0.570 
422.000,  0.651 
422.100,  0.789 
422.200,  0.572 
422.300,  0.629 
422.400,  0.497 
422.500,  0.411 
422.600,  0.215 
422.700,  0.119 
422.800,  0.393 
422.900,  0.610 
423.000,  0.590 
423.100,  0.745 
423.200,  0.646 
423.300,  0.540 
423.400,  0.564 
423.500,  0.674 
423.600,  0.355 
423.700,  0.531 
423.800,  0.631 
423.900,  0.483 
