wavelength, flux 
380.000,  0.173 
380.100,  0.383 
380.200,  0.408 
380.300,  0.576 
380.400,  0.575 
380.500,  0.346 
380.600,  0.396 
380.700,  0.128 
380.800,  0.373 
380.900,  0.393 
381.000,  0.543 
381.100,  0.388 
381.200,  0.426 
381.300,  0.214 
381.400,  0.274 
381.500,  0.165 
381.600,  0.080 
381.700,  0.211 
381.800,  0.167 
381.900,  0.161 
382.000,  0.065 
382.100,  0.079 
382.200,  0.134 
382.300,  0.142 
382.400,  0.071 
382.500,  0.077 
382.600,  0.061 
382.700,  0.124 
382.800,  0.096 
382.900,  0.118 
383.000,  0.172 
383.100,  0.194 
383.200,  0.095 
383.300,  0.119 
383.400,  0.071 
383.500,  0.153 
383.600,  0.194 
383.700,  0.188 
383.800,  0.100 
383.900,  0.127 
384.000,  0.108 
384.100,  0.076 
384.200,  0.218 
384.300,  0.241 
384.400,  0.287 
384.500,  0.291 
384.600,  0.329 
384.700,  0.272 
384.800,  0.360 
384.900,  0.240 
385.000,  0.110 
385.100,  0.229 
385.200,  0.283 
385.300,  0.241 
385.400,  0.219 
385.500,  0.157 
385.600,  0.060 
385.700,  0.094 
385.800,  0.092 
385.900,  0.073 
386.000,  0.032 
386.100,  0.086 
386.200,  0.147 
386.300,  0.178 
386.400,  0.168 
386.500,  0.157 
386.600,  0.161 
386.700,  0.249 
386.800,  0.226 
386.900,  0.298 
387.000,  0.259 
387.100,  0.224 
387.200,  0.164 
387.300,  0.139 
387.400,  0.254 
387.500,  0.226 
387.600,  0.217 
387.700,  0.182 
387.800,  0.072 
387.900,  0.081 
388.000,  0.207 
388.100,  0.244 
388.200,  0.210 
388.300,  0.179 
388.400,  0.223 
388.500,  0.123 
388.600,  0.048 
388.700,  0.071 
388.800,  0.137 
388.900,  0.185 
389.000,  0.226 
389.100,  0.306 
389.200,  0.416 
389.300,  0.287 
389.400,  0.234 
389.500,  0.144 
389.600,  0.096 
389.700,  0.252 
389.800,  0.160 
389.900,  0.131 
390.000,  0.075 
390.100,  0.198 
390.200,  0.247 
390.300,  0.141 
390.400,  0.252 
390.500,  0.202 
390.600,  0.143 
390.700,  0.160 
390.800,  0.367 
390.900,  0.422 
391.000,  0.403 
391.100,  0.360 
391.200,  0.358 
391.300,  0.407 
391.400,  0.314 
391.500,  0.441 
391.600,  0.335 
391.700,  0.250 
391.800,  0.295 
391.900,  0.165 
392.000,  0.086 
392.100,  0.120 
392.200,  0.141 
392.300,  0.066 
392.400,  0.155 
392.500,  0.172 
392.600,  0.164 
392.700,  0.136 
392.800,  0.062 
392.900,  0.102 
393.000,  0.054 
393.100,  0.077 
393.200,  0.067 
393.300,  0.033 
393.400,  0.020 
393.500,  0.057 
393.600,  0.079 
393.700,  0.108 
393.800,  0.125 
393.900,  0.163 
394.000,  0.179 
394.100,  0.146 
394.200,  0.141 
394.300,  0.100 
394.400,  0.044 
394.500,  0.098 
394.600,  0.171 
394.700,  0.204 
394.800,  0.157 
394.900,  0.162 
395.000,  0.247 
395.100,  0.342 
395.200,  0.329 
395.300,  0.252 
