wavelength, flux, error 
380.000,  0.171,  0.009 
380.100,  0.406,  0.020 
380.200,  0.377,  0.019 
380.300,  0.491,  0.025 
380.400,  0.576,  0.029 
380.500,  0.297,  0.015 
380.600,  0.313,  0.016 
380.700,  0.052,  0.003 
380.800,  0.372,  0.019 
380.900,  0.394,  0.020 
381.000,  0.413,  0.021 
381.100,  0.340,  0.017 
381.200,  0.423,  0.021 
381.300,  0.283,  0.014 
381.400,  0.229,  0.011 
381.500,  0.099,  0.005 
381.600,  0.085,  0.004 
381.700,  0.215,  0.011 
381.800,  0.212,  0.011 
381.900,  0.195,  0.010 
382.000,  0.059,  0.003 
382.100,  0.130,  0.007 
382.200,  0.156,  0.008 
382.300,  0.214,  0.011 
382.400,  0.088,  0.004 
382.500,  0.050,  0.003 
382.600,  0.043,  0.002 
382.700,  0.084,  0.004 
382.800,  0.084,  0.004 
382.900,  0.106,  0.005 
383.000,  0.165,  0.008 
383.100,  0.179,  0.009 
383.200,  0.085,  0.004 
383.300,  0.152,  0.008 
383.400,  0.107,  0.005 
383.500,  0.141,  0.007 
383.600,  0.199,  0.010 
383.700,  0.134,  0.007 
383.800,  0.121,  0.006 
383.900,  0.127,  0.006 
384.000,  0.072,  0.004 
384.100,  0.104,  0.005 
384.200,  0.185,  0.009 
384.300,  0.209,  0.010 
384.400,  0.243,  0.012 
384.500,  0.242,  0.012 
384.600,  0.236,  0.012 
384.700,  0.250,  0.012 
384.800,  0.306,  0.015 
384.900,  0.210,  0.010 
385.000,  0.053,  0.003 
385.100,  0.186,  0.009 
385.200,  0.231,  0.012 
385.300,  0.213,  0.011 
385.400,  0.178,  0.009 
385.500,  0.154,  0.008 
385.600,  0.072,  0.004 
385.700,  0.190,  0.009 
385.800,  0.139,  0.007 
385.900,  0.121,  0.006 
386.000,  0.061,  0.003 
386.100,  0.074,  0.004 
386.200,  0.219,  0.011 
386.300,  0.210,  0.011 
386.400,  0.204,  0.010 
386.500,  0.161,  0.008 
386.600,  0.204,  0.010 
386.700,  0.179,  0.009 
386.800,  0.172,  0.009 
386.900,  0.196,  0.010 
