# time			rv1			rv2
55368.9509       -139.96       136.65
55527.5607       -142.87       135.21
55850.5866       -129.49       121.77
55867.7441       -115.70       97.00
55903.5554       103.22       -177.41
56010.9947       53.10       -122.10
56023.9539       -151.90       136.70
56024.0077       -143.75       133.62
56052.9744       92.58       -164.36
56058.9383       53.50       -107.20
56060.8952       67.20       -129.20
56063.8539       -141.10       131.90
56064.8808       -102.00       86.60
56067.8372       95.90       -174.30
56070.8316       -128.70       124.70
56079.9081       -141.50       134.90
56080.8236       -90.70       56.40
56086.8013       -132.70       121.40
56087.8510       -149.20       137.60
56088.9724       -145.55       135.45
56090.7881       94.20       -161.60
56099.7688       95.80       -162.80
56100.7871       41.70       -95.60
56194.6040       102.74       -176.94
56210.5989       102.58       -171.42
56230.5754       -134.79       129.93
56236.7241       98.80       -164.20
56255.6459       -144.50       135.45
56392.9675       55.70       -125.30
56406.9195       92.30       -160.20
56416.9255       55.30       -120.40
56422.9040       87.10       -154.30
56427.9707       -142.82       140.84
56431.8571       96.30       -164.70
56442.8907       -118.60       106.60
56449.8182       -82.90       54.80
56457.8049       -84.40       63.50
56464.8947       75.60       -133.40
56469.7377       64.10       -130.70
56547.7237       -151.96       128.41
56559.6628       85.10       -168.51
56566.7011       79.90       -155.70
56575.6398       92.77       -160.34
56578.7526       -94.20       75.00
56586.6679       -128.09       109.42
56607.6302       101.27       -171.62
56611.6482       -147.03       139.42
56615.6107       98.31       -172.71
56623.6232       105.30       -177.40
56639.5636       95.10       -167.46
56735.0125       -123.21       120.67
56740.9950       37.80       -92.50
56750.9814       -130.60       122.30
56755.9803       98.75       -168.59
56779.8924       88.00       -148.30
56787.9572       107.70       -174.00
56793.8750       48.20       -109.20
56810.8254       106.50       -182.70
56818.8213       98.39       -185.72
56827.9554       96.68       -176.52
56831.9534       -144.10       134.60
56858.7645       99.90       -182.34
56914.6415       103.77       -170.89
56930.6109       106.94       -178.03
56933.5947       -124.22       114.85
56934.5981       -141.53       138.50
56934.6159       -145.30       142.00
56943.6856       -135.22       125.48
56962.6023       105.32       -177.24
56970.6277       104.73       -172.93
56986.5783       106.91       -174.08
57115.0025       -143.37       126.70
57133.9373       60.80       -115.60
57143.9878       99.00       -169.70
57150.9822       86.90       -158.07
57168.9782       48.05       -114.81
57297.6241       -128.45       116.33
57467.9977       69.80       -131.90
57487.9799       -114.10       99.40
57510.8882       -140.30       130.20
57527.8661       -86.00       62.00
57542.8975       -141.80       141.90
57698.7152       95.10       -178.00
57735.6180       -113.60       97.20
57908.8385       39.30       -106.20
57934.8055       88.60       -168.00
58003.7820       -103.80       86.60
58222.9610       -136.40       118.10
58252.8510       -116.10       96.60
58289.9256       82.70       -144.10
58376.6446       87.70       -149.60
