# time 				rv1
55368.9509       -139.96    
55527.5607       -142.87    
55850.5866       -129.49    
55867.7441       -115.70    
55903.5554       103.22     
56010.9947       53.10      
56023.9539       -151.90    
56024.0077       -143.75    
56052.9744       92.58      
56058.9383       53.50      
56060.8952       67.20      
56063.8539       -141.10    
56064.8808       -102.00    
56067.8372       95.90      
56070.8316       -128.70    
56079.9081       -141.50    
56080.8236       -90.70     
56086.8013       -132.70    
56087.8510       -149.20    
56088.9724       -145.55    
56090.7881       94.20      
56099.7688       95.80      
56100.7871       41.70      
56194.6040       102.74     
56210.5989       102.58     
56230.5754       -134.79    
56236.7241       98.80      
56255.6459       -144.50    
56392.9675       55.70      
56406.9195       92.30      
56416.9255       55.30      
56422.9040       87.10      
56427.9707       -142.82    
56431.8571       96.30      
56442.8907       -118.60    
56449.8182       -82.90     
56457.8049       -84.40     
56464.8947       75.60      
56469.7377       64.10      
56547.7237       -151.96    
56559.6628       85.10      
56566.7011       79.90      
56575.6398       92.77      
56578.7526       -94.20     
56586.6679       -128.09    
56607.6302       101.27     
56611.6482       -147.03    
56615.6107       98.31      
56623.6232       105.30     
56639.5636       95.10      
56735.0125       -123.21    
56740.9950       37.80      
56750.9814       -130.60    
56755.9803       98.75      
56779.8924       88.00      
56787.9572       107.70     
56793.8750       48.20      
56810.8254       106.50     
56818.8213       98.39      
56827.9554       96.68      
56831.9534       -144.10    
56858.7645       99.90      
56914.6415       103.77     
56930.6109       106.94     
56933.5947       -124.22    
56934.5981       -141.53    
56934.6159       -145.30    
56943.6856       -135.22    
56962.6023       105.32     
56970.6277       104.73     
56986.5783       106.91     
57115.0025       -143.37    
57133.9373       60.80      
57143.9878       99.00      
57150.9822       86.90      
57168.9782       48.05      
57297.6241       -128.45    
57467.9977       69.80      
57487.9799       -114.10    
57510.8882       -140.30    
57527.8661       -86.00     
57542.8975       -141.80    
57698.7152       95.10      
57735.6180       -113.60    
57908.8385       39.30      
57934.8055       88.60      
58003.7820       -103.80    
58222.9610       -136.40    
58252.8510       -116.10    
58289.9256       82.70      
58376.6446       87.70      
